"","ATE","lowerCI","upperCI"
"Non-White, SOFA_0_3",0.0207781196329766,-0.0164996446363632,0.0580558839023164
"Non-White, SOFA_4_6",0.0471800801088222,0.0128577685806051,0.0815023916370393
"Non-White, SOFA_7_10",0.0383312284603701,-0.00367754870598579,0.080340005626726
"Non-White, SOFA>11",-0.0503658685065075,-0.149139518440924,0.0484077814279085
"White, SOFA_0_3",0.0300553326084879,0.0116031568459731,0.0485075083710026
"White, SOFA_4_6",0.0374460498080669,0.0220016173931621,0.0528904822229717
"White, SOFA_7_10",0.00890371228382433,-0.0133990266382366,0.0312064512058853
"White, SOFA>11",-0.10122681419422,-0.153473280560802,-0.0489803478276372
